ruc,razon_social,tipo_contribuyente,profesion_oficio,nombre_comercial,condicion_contribuyente,estado_contribuyente,fecha_inscripcion,fecha_inicio_actividades,departamento,provincia,distrito,direccion,telefono,fax,actividad_comercio_exterior,ciiu_principal,ciiu_secundario_1,ciiu_secundario_2,afecto_nuevo_rus,buen_contribuyente,agente_retencion,agente_percepcion_venta_interna,agente_percepcion_combustible,fecha_consulta
20450207544,COOPERATIVA AGRARIA UCHIZA LTDA,"COOPERATIVAS, SAIS, CAPS",,CAU LTDA,HABIDO,ACTIVO,2007-02-14,2007-04-01,SAN MARTIN,TOCACHE,UCHIZA,AV. RICARDO PALMA NRO. C-16 (COSTADO DEL INSTITUTO TECNOLOGICO FVC),,,IMPORTADOR/EXPORTADOR,CULTIVOS DE CEREALES.,"PESCA, EXPLOT. CRIADEROS DE PECES.",,NO,,,,,2026-09-19T21:44:11.515Z
20450242021,"""COOPERATIVA DE SERVICIOS MULTIPLES CAPEMA""","COOPERATIVAS, SAIS, CAPS",,CAPEMA,HABIDO,ACTIVO,2007-07-02,2007-07-02,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,AV. CAJAMARCA SUR NRO. 1135,,,EXPORTADOR,ACTIVIDADES OTRAS ASOCIACIONES NCP.,VTA.  MAY. DE MATERIAS PRIMAS AGROPEC.,,NO,,,,,2026-09-19T21:35:37.435Z
20450319423,COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES CAFE DONCEL,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,2008-04-17,2008-04-20,SAN MARTIN,MOYOBAMBA,SORITOR,AV. CAJAMARCA NRO. S/N (C-1 BARRIO TANGUMI  SALIDA A SAN MARCOS),,,SIN ACTIVIDAD,CULTIVOS DE CEREALES.,TRANSPORTE  DE CARGA POR CARRETERA.,,NO,,,,,2026-09-19T21:42:35.997Z
20450638791,ASOCIACION DE CASTAÑEROS DE LA RESERVA DE TAMBOPATA LOS PIONEROS - ASCART,ASOCIACION,,,HABIDO,ACTIVO,2008-09-18,2008-09-18,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,JR. CESAR VALLEJO NRO. SN (A ESPALDAS DE COLEGIO MIGUEL GRAU),,,IMPORTADOR/EXPORTADOR,CULTIVO DE HORTALIZAS Y LEGUMBRES.,"ELAB. FRUTAS, LEG. Y HORTALIZAS.",,NO,,,,,2026-09-19T21:35:37.435Z
20452774705,COOPERATIVA AGRARIA CACAO VRAE,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,2006-05-03,2006-05-03,CUSCO,LA CONVENCION,KIMBIRI,NRO. 549 BQ. CIRCUNVALACION (A UNA CUADRA DE LOS BOMBEROS),,,EXPORTADOR,"ELAB. CACAO, CHOCOLATE Y CONFIT.",OTROS TIPOS DE VENTA POR MENOR.,,NO,,,,,2026-09-19T21:42:35.997Z
20454319169,ASOCIACION LA JOYA AGRO EXPORT,ASOCIACION,,,HABIDO,ACTIVO,2025-06-16,2025-06-16,AREQUIPA,AREQUIPA,JACOBO HUNTER,NRO. -- C.P. LA JOYA LATERAL 5 (A 8 KM DE LA ESTACION DE LECHE GLORIA),,,SIN ACTIVIDAD,ACTIVIDADES OTRAS ASOCIACIONES NCP.,,,NO,,,,,2026-09-19T21:40:58.666Z
20454864604,ASOCIACION DE PRODUCTORES AGROINDUSTRIALES SIGUAS MAJES - PRASIMEX,ASOCIACION,,,HABIDO,ACTIVO,2011-02-07,2011-02-07,AREQUIPA,CAYLLOMA,MAJES,MZA. K LOTE. 3 EL PEDREGAL (AV. ISLAY AL FRENTE DE MERCADO OVALO),,,SIN ACTIVIDAD,EXPLOTACION MIXTA.,ACTIVIDADES OTRAS ASOCIACIONES NCP.,,NO,,,,,2026-09-19T21:38:03.020Z
20455129321,ASOCIACIÓN DE CRIADORES DE ALPACAS DEL DISTRITO DE SIBAYO ASCADIS,ASOCIACION,,,NO HABIDO,BAJA PROV. POR OFICIO,2012-09-28,2012-10-01,AREQUIPA,CAYLLOMA,SIBAYO,PLAZA PRINCIPAL S/N NRO. --- (DENTRO MUNICIPALIDAD DISTRITAL DE SIBAYO),,,SIN ACTIVIDAD,PRODUC. CARNE Y PROD. CARNICOS.,PREP Y TEJ DE FIBRAS TEXTILES.,,NO,,,,,2026-09-19T21:49:12.014Z
20455429120,ASOCIACION DE PRODUCTORES AGROPECUARIOS DE AGROEXPORTACION E-4 IRRIGACION  MAJES-AREQUIPA,ASOCIACION,,,HABIDO,BAJA PROV. POR OFICIO,2009-12-07,2009-12-07,AREQUIPA,CAYLLOMA,MAJES,ASENTAMIENTO 8 PARCELA NRO. 39 SECCION E (A LA ALTURA DE LA UNSA),,,EXPORTADOR,ACTIVIDADES OTRAS ASOCIACIONES NCP.,"SERVICIOS AGRICOLAS, GANADERAS.",,NO,,,,,2026-09-19T21:49:12.014Z
20479595276,COOPERATIVA AGRARIA CAFETALERA CASIL LTDA.,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,2003-03-14,2003-03-01,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,AV. SAN IGNACIO NRO. 625 (COSTADO CEMENTERIO),,,EXPORTADOR,CULTIVOS DE CEREALES.,,EXPLOTACION MIXTA.,NO,,"SI, incorporado al Régimen de Agentes de Retención de IGV (R.S.229-2024) a partir del 01/01/2025",,,2026-09-19T21:42:35.997Z
